"type_study";"document_title";"author_keywords";"index_keywords";"abstract";"pdf_link";"base";"authors";"publication_title";"endereco";"status1-selecao";"status2-duplicated";"status3-title-abst_keys";"status4-read";"rq1";"rq2";"rq2.1_fase_citada";"rq3";"all_tags";"conotação";"tipo_porte";"setor";"observação";"publication_year";"document_identifier";"online_date"
"white";"Data Analysis in Coronavirus based on Knowledge Graph of Chinese Literature";"novel coronavirus;novel coronavirus pneumonia;2019-nCoV;COVID;knowledge mapping";"COVID-19;Epidemics;Market research;Medical diagnosis;Public healthcare;Viruses (medical);Research and development";"The current situation, hot spot and trend of coronavirus research in public health of China are discussed, which provides reference for the future research and direction of coronavirus. Based on statistical analysis methods such as bibliometric and knowledge mapping, the visual software CiteSpace was used to analyze the knowledge mapping constructed by keywords, clustering, authors and research institutions. Domestic scholars have analyzed and discussed virus tracing, transmission mechanism, virus detection, disease diagnosis and treatment, drug research and development, epidemic situation assessment and other aspects of coronavirus. It has become a trend to use new technologies to improve research and development programs. In addition, traditional Chinese medicine will play an increasingly important role in the future research of coronavirus in public health.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9361920";"ieee explore";"L. Zhao; H. Zhu; N. Ouyang";"2020 International Conference on Public Health and Data Science (ICPHDS)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-02-26"
"white";"Innovative Use of TPOA Telecentres for Covid-19 Awareness among the Orang Asli Communities";"telecentre;sustainability;TPOA;ICT4D;rural development;Covid-19;social resilience";"COVID-19;Technological innovation;Conferences;Government;Urban areas;Information and communication technology;Resilience";"This paper presents the social innovation of using the TPOA telecentres as a means to create Covid-19 awareness among the Orang Asli community. The various challenges in the current means of information dissemination by the government have been highlighted, which led to an innovative adjustment on the information to be disseminated as well the adoption of a new mechanism of information dissemination to effectively convey the important Covid-19 awareness across the Orang Asli villages. The important considerations for coming up with the new information dissemination mechanism for the Orang Asli community have also been discussed together with its implementation executed through the local Orang Asli telecentre caretakers. The new dissemination mechanism aimed to achieve faster delivery and a better understanding of messages among the local community to gain quick Covid-19 awareness to better prepare them when visiting the higher risk urban areas. The learning process is part of the development for social resilience.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9357028";"ieee explore";"C. E. Tan; S. P. Lau; S. M. Wong; P. Bala";"2020 IEEE 8th R10 Humanitarian Technology Conference (R10-HTC)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-02-23"
"white";"Design and development of a low-cost powered air-purifying respirator for frontline medical workers for COVID-19 response";"Respiratory protection;Personal protective equipment;Powered air-purifying respirator;PAPR;Infection control;Medical hardware;COVID-19 pandemic";"COVID-19;Personal protective equipment;Pandemics;Prototypes;Peak to average power ratio;Safety;Open source software";"The coronavirus pandemic has affected millions of lives around the world. The availability of personal protective equipment at a low cost has been an important factor in determining the well-being of frontline health workers who are integral to the global response to COVID-19. This paper discusses the design and development of a low-cost open-source powered air-purifying respirator (PAPR) for medical professionals which costs approximately INR 10,000. We detail the assembling process for this respirator using widely available components that allows for easy scale-up and replication in any country, thereby ensuring the safety of frontline health and sanitation workers who are at an elevated risk of contracting COVID-19. We worked with doctors at Amrita Institute of Medical Sciences to test the prototype for airflow under varying battery life conditions and found it to provide 10 CFM airflow (1.7 times the National Institute for Occupational Safety and Health (NIOSH) airflow requirements) for over 7 hours without any long term effects due to noise from the actuators.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9356954";"ieee explore";"V. Jayan; A. Ajan; H. Mohan; G. Manikutty; D. Sasi; M. Kappanayil; S. Vijayaraghavan; R. Bhavani Rao";"2020 IEEE 8th R10 Humanitarian Technology Conference (R10-HTC)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-02-23"
"white";"Mechatronics Teaching through Virtual Platforms for Home Confinement due to COVID-19";"COVID-19;Factory I/O;FluidSIM;Mechatronics;Overleaf;Tinkercad";"COVID-19;Mechatronics;Education;Transforms;Tools;Software;Production facilities";"The pandemic that has been unleashed all over the world has forced us to change our way of life, this includes to avoid face-to-face classes. Therefore, an important question arises: how to carry out the online classes of a subject in which the main focus is on developing projects such as the Mechatronics course? This document presents the platforms used in the online course that include: Factory I/O, Overleaf, Tinkercad and FluidSIM, for replacing face-to-face practices. The course development, its characteristics and even the practices that have been done during the online course on the platforms are explained. The main idea is to show that it is possible to substitute the face-to-face practices, using appropriate online tools for each topic within the course. The use of online platforms and simulation software allows obtaining new skills of teaching regarding laboratory subjects. In general, online platforms allow having an alternative and new tools to transform the most of the course to the online mode.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359431";"ieee explore";"L. D. R. Delgado; S. d. M. Alvarez; S. Gutiérrez; H. Ponce";"2020 International Conference on Mechatronics, Electronics and Automotive Engineering (ICMEAE)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-02-23"
"white";"Pandemic Response and Crisis Informatics: An Imperative for Public Health Messaging";"COVID-19;Disaster Preparedness System;User Behavior;Crisis Informatics";"COVID-19;Social networking (online);Organizations;Search engines;Timing;Public healthcare;Informatics";"The focus of this research is to examine the usage patterns exhibited by users of online search engines in the midst of COVID-19. We aim to understand how the queries are structured and their timing on the various platforms that citizens are using to check the availability of Personal Protective Equipment (PPE) since the outbreak of the COVID-19 public health crisis. Understanding and analyzing peak volume for information platforms is critical, especially for public health policy, with a mind toward crisis informatics. In this study, we collect all the data of users querying data from Face Mask Map (FMM), a real-time application which displays the inventory status for all stores selling PPE. This data is from the point at which the public health crisis became widely known to the time at which PPE availability saturated the market. As COVID-19 continues to proliferate and affect people around the globe, official organizations such as Department of Health and World Health Organization (WHO) utilize Web or Social Media (Facebook or Twitter) to announce up-to-date news, e.g. daily confirmed cases or in order to update policy regarding resource management. We then correlate the significant announcements from public health officials, specifically published by Ministry of Health and Welfare (MoHW) in Taiwan, that are concerning usage and distribution of PPE. We find that the temporal dynamics of aggregated users behavior are consistent with the events. For the practitioner of disaster management, it is critical to be able to identify when the public will consistently react to public health announcements for the purpose of ensuring proper supply distribution and avoid misallocation. It is our hope that the study can help to build an effective online disaster preparedness information system, in the consideration of computing and public psychology, to better respond to disaster with a greater corpus of data.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359088";"ieee explore";"C. -M. Lai; Y. -C. Liu; R. -C. Chang; J. W. Chapman; C. -H. Lin";"2020 International Computer Symposium (ICS)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-02-23"
"white";"Development of Smartband to Monitor from Home the Vital Signs for Patients with SARS COV 2 Through a Mobile Application from the Central Military Hospital (HOMIL) Bogota 2020";"Coronavirus coronavirus HOMIL;infection;medical informatics applications;databases;Software Proteus;PCB;I2C;Android Studio;FireBase;Sensor;hypoxia";"COVID-19;Temperature measurement;Wireless communication;Hospitals;Mobile applications;Biomedical monitoring;Remote monitoring";"After the arrival of SARS COV2 (COVID 19) many biomedical devices have been innovated to mitigate the impact of the pandemic. Despite this, none have been developed to monitor patients with mild symptoms or the asymptomatic from their homes, forcing many hospitals worldwide to send these patients home with poor surveillance measures. The main objective of this project is to monitor from the HOMIL the vital signs of COVID 19 patients, who are currently isolated in their homes. For this purpose, a biomedical device in the form of a lowcost smartband has been developed. It is linked to a mobile application connected to a database where heart rate, oxygen saturation, and temperature parameters are sent in real time. The development was proposed in phases, which involve physical design, data acquisition and processing, and subsequent trial at the HOMIL. The smartband design and the mobile application has been developed, wireless communication between sensors has been achieved. Furthermore, the plan is to provide the HOMIL with the capability of initiating emergency protocols. The use of the smartband will be encouraged in patients who have tested positive for COVID 19 through PCR and will be taken off once they test negative.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342962";"ieee explore";"T. A. Nuncira Gacharna; A. Beltran Ostos; M. A. Lopez Gonzalez; J. J. Avila Pallares; V. R. Zuluaga; N. A. Duran Castro; E. D. Daleman Amaya; Y. J. Fonseca Rojas; H. Hernandez Silva; J. A. Rueda Forero; J. A. Guzman Laguna; A. J. Estrada Anaya; M. E. Lambertinez Rivera; H. D. Vasquez amado; V. Hernandez Vasquez";"2020 IEEE Global Humanitarian Technology Conference (GHTC)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-02-08"
"white";"A new COVID-19 medical image steganography based on dual encrypted data insertion into minimum mean intensity window of LSB of X-ray scans";"Steganography;Encrypted DNA;Baconian Cipher;LSB;Normalized Cross-Correlation;Average difference;Root Mean Square difference";"COVID-19;Ciphers;Frequency-domain analysis;DNA;Encryption;X-ray imaging;Software development management";"Image steganography is a new domain where message is inserted into image in such a way that either it will be visible or invisible. It is done in spatial as well as the frequency domain of image. In this paper, we have proposed a novel procedure in the spatial domain where we have taken X-Ray scans of the COVID-19 patients and their respective patient data. We have implemented dual encryption on the patient data by using encrypted DNA technique in combination with the generation of the Baconian ciphers for the data. Then we have inserted this data into the LSB of the image using a logical operation. The insertion is done in the window of LSB of the image which has minimum mean intensity. Then, the final image is reconstructed from the bit planes. We have tested our method on an open source database covid-chestxray-dataset- master available on github.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342067";"ieee explore";"S. Sahoo; S. S. Sahoo";"2020 IEEE 17th India Council International Conference (INDICON)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-02-05"
"white";"Sentiment and Emotion in Social Media COVID-19 Conversations: SAB-LSTM Approach";"Conversation mining;Sentiment analysis;Text Analytics;Machine Learning;Deep Learning;Sentiment Lexicon;COVID-19 Sentiment";"COVID-19;Sentiment analysis;Social networking (online);Blogs;Predictive models;Task analysis;Context modeling";"Sentiment and Emotion detection in social media conversations remains a challenge and analyzing the people emotion emerged as an important task in this unprecedented time of COVID-19. People sentiment and emotions are affected by lockdowns, social distancing, travel, work-from-home, wearing mask, reading social media posting. Most of them are feeling sad, anger, depressed, and some of them are neutral and happy. The most recent Sentiment Analysis (SA) researches are done using Twitter dataset (short-text) and rule-based (sentiment lexicon) approach, the outcome of these SA models' results is not showing the consistent prediction of people sentiment about COVID-19. To mitigate and overcome limitations of lexicon approach, processing unstructured social media long text posting, getting context based sentiment score, model overfitting, performance problems of sentiment models, authors' proposed and built a novel multi-class SA model using extension of Bidirectional LSTM (SAB-LSTM) with additional layers. In this experiment SAB-LSTM model has been used to process long text of social media posting, news articles text dataset. Experiment result showed, SAB-LSTM model performance is better than traditional LSTM and BLSTM. Compared SAB-LSTM performance metric of Precision, Recall, F1 Score and sentiment score with traditional LSTM and BLSTM. For this experiment collected COVID-19 related dataset from various social media sources such as Twitter, Facebook, YouTube, News articles blogs and collected data from friends and family.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9337098";"ieee explore";"D. A. Kumar; A. Chinnalagu";"2020 9th International Conference System Modeling and Advancement in Research Trends (SMART)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-02-04"
"white";"Pandemic programming";;"Software development; Work from home; Crisis management; Disaster management; Emergency management; Wellbeing; Productivity; COVID-19; Pandemic; Questionnaire; Structural equation modeling";"Objective
This study investigates the effects of the pandemic on developers’ wellbeing and productivity.

Method
A questionnaire survey was created mainly from existing, validated scales and translated into 12 languages. The data was analyzed using non-parametric inferential statistics and structural equation modeling.

Results
The questionnaire received 2225 usable responses from 53 countries. Factor analysis supported the validity of the scales and the structural model achieved a good fit (CFI = 0.961, RMSEA = 0.051, SRMR = 0.067). Confirmatory results include: (1) the pandemic has had a negative effect on developers’ wellbeing and productivity; (2) productivity and wellbeing are closely related; (3) disaster preparedness, fear related to the pandemic and home office ergonomics all affect wellbeing or productivity. Exploratory analysis suggests that: (1) women, parents and people with disabilities may be disproportionately affected; (2) different people need different kinds of support.

Conclusions
To improve employee productivity, software companies should focus on maximizing employee wellbeing and improving the ergonomics of employees’ home offices. Women, parents and disabled persons may require extra support.";"http://link.springer.com/article/10.1007/s10664-020-09875-y";"springer";"Paul RalphSebastian BaltesGianisa AdisaputriRichard TorkarVladimir KovalenkoMarcos KalinowskiNicole NovielliShin YooXavier DevroeyXin TanMinghui ZhouBurak TurhanRashina HodaHideaki HataGregorio RoblesAmin Milani Fard";"Empirical Software Engineering";"6299 South St, Halifax, NS B3H 4R2, Canadá";1;0;1;1;1;0;"NA";"trabalho remoto;produtividade;saude ocupacional;plano de gestão de desastres e continuidade dos negócios";"trabalho remoto;produtividade;saude ocupacional;plano de gestão de desastres e continuidade dos negócios";"mista";"NA";"NA";;2020;"Article";"2020-09-14"
"white";"Experience of Indian Electricity Market Operation and other events during COVID-19 pandemic";"COVID-19;Electricity Market;India;Power System;Pandemic";"COVID-19;Pandemics;Switches;Electricity supply industry;Power systems;Stakeholders;Security";"World over, COVID-19 pandemic has affected the behavior and livelihoods of the people. The impact is reflected in the power system operations and electricity markets. This paper examines the impact of COVID-19 on different Indian electricity market segments. The utilities on both demand side and supply side responded to situation with depressed volumes and prices. The paper also describes the measures taken by the system operator to cope up with the situation. The paper traces the resilience exhibited by Indian power system stakeholders in handling exceptional events during lockdown such as cyclones, eclipse and lights switch-off event. The implementation of initiatives such as Real Time Market and expansion of Security Constrained Economic Despatch pilot in this challenging environment is discussed briefly. The paper concludes with possible course of action contemplated for the future of Indian electricity market post COVID-19.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9331879";"ieee explore";"K. V. N. P. Kumar; A. Kumar; G. Verma; S. Machal; S. C. Saxena; D. De; S. S. Barpanda; K. V. S. Baba";"2020 21st National Power Systems Conference (NPSC)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-29"
"white";"Monitoring Self-isolation Patient of COVID-19 with Internet of Things";"COVID-19;Elasticsearch;Internet of Things";"Monitoring;Servers;Biomedical monitoring;Logic gates;COVID-19;Temperature measurement;Data visualization";"Internet of Things (IoT) application can be used in health care service to monitor patients remotely. During the COVID-19 pandemic, infected people with no symptoms must isolate theirself to keep the virus from spreading. Medical devices connected to internet can be used for physiological measurement such as heart rates, blood oxygen saturation and body temperature and send the measurement result to a server. Remote monitoring can also reduce patient visit to hospital and therefore reduce workload of medical staff. In this research we propose a monitoring system for COVID-19 patients in self-isolation to monitor physiological data like SpO2 and heart rate together with location information of the patients. We have developed IoT-based health monitoring system with wireless body sensor networks and a gateway that can be used for data acquisition and transmission. The system also employed an application server that can be used for data storage, analytics, and visualization. The prototype of the monitoring system used home pulse oximeter for measuring SpO2 and heart rate and an Android application working as IoT gateway to collect data from sensor and adding location information before sending the data to server. In server, an open source Elasticsearch Logstash Kibana (ELK) stack popular for logging and indexing large data continuously process incoming data so that medical staff can explore and visualize measurement results of patients and their location in a dashboard. That way they can monitor patient's condition trying to recover themselves in self-isolation at any time and take preventive actions as necessary.";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9328953";"ieee explore";"R. Priambodo; T. M. Kadarina";"2020 IEEE International Conference on Communication, Networks and Satellite (Comnetsat)";;0;0;;;;;;;;;;;;2020;"IEEE Conferences";"2021-01-25"
